Date,Open_NYAD,High_NYAD,Low_NYAD,Close_NYAD,Volume_NYAD,Open_NYMO,High_NYMO,Low_NYMO,Close_NYMO,Volume_NYMO
2018-11-12,1485.41003,1485.41003,1485.41003,1485.41003,0.0,31.6100006,31.6100006,31.6100006,31.6100006,0.0
2018-11-13,1484.46997,1484.46997,1484.46997,1484.46997,0.0,28.4899998,28.4899998,28.4899998,28.4899998,0.0
2018-11-14,1478.32996,1478.32996,1478.32996,1478.32996,0.0,-7.28000021,-7.28000021,-7.28000021,-7.28000021,0.0
2018-11-15,1482.92004,1482.92004,1482.92004,1482.92004,0.0,23.6399994,23.6399994,23.6399994,23.6399994,0.0
2018-11-16,1484.75,1484.75,1484.75,1484.75,0.0,34.8100014,34.8100014,34.8100014,34.8100014,0.0
2018-11-19,1475.41003,1475.41003,1475.41003,1475.41003,0.0,-34.5699997,-34.5699997,-34.5699997,-34.5699997,0.0
2018-11-20,1461.5,1461.5,1461.5,1461.5,0.0,-126.639999,-126.639999,-126.639999,-126.639999,0.0
2018-11-21,1470.40002,1470.40002,1470.40002,1470.40002,0.0,-28.7600002,-28.7600002,-28.7600002,-28.7600002,0.0
2018-11-23,,,,,,-5.01000023,-5.01000023,-5.01000023,-5.01000023,0.0
2018-11-26,1478.06006,1478.06006,1478.06006,1478.06006,0.0,46.5800018,46.5800018,46.5800018,46.5800018,0.0
2018-11-27,1474.15002,1474.15002,1474.15002,1474.15002,0.0,14.1199999,14.1199999,14.1199999,14.1199999,0.0
2018-11-28,1487.89001,1487.89001,1487.89001,1487.89001,0.0,113.970001,113.970001,113.970001,113.970001,0.0
2018-11-29,1485.78003,1485.78003,1485.78003,1485.78003,0.0,90.2699966,90.2699966,90.2699966,90.2699966,0.0
2018-11-30,1489.31006,1489.31006,1489.31006,1489.31006,0.0,94.3600006,94.3600006,94.3600006,94.3600006,0.0
2018-12-03,1499.20996,1499.20996,1499.20996,1499.20996,0.0,158.570007,158.570007,158.570007,158.570007,0.0
2018-12-04,1485.0,1485.0,1485.0,1485.0,0.0,35.3400002,35.3400002,35.3400002,35.3400002,0.0
2018-12-06,,,,,,36.9300003,36.9300003,36.9300003,36.9300003,0.0
2018-12-07,1475.68005,1475.68005,1475.68005,1475.68005,0.0,-21.1399994,-21.1399994,-21.1399994,-21.1399994,0.0
2018-12-10,1469.23999,1469.23999,1469.23999,1469.23999,0.0,-65.6699982,-65.6699982,-65.6699982,-65.6699982,0.0
2018-12-11,1465.71997,1465.71997,1465.71997,1465.71997,0.0,-68.8099976,-68.8099976,-68.8099976,-68.8099976,0.0
2018-12-12,1472.46997,1472.46997,1472.46997,1472.46997,0.0,-8.28999996,-8.28999996,-8.28999996,-8.28999996,0.0
2018-12-13,1465.88,1465.88,1465.88,1465.88,0.0,-48.9500008,-48.9500008,-48.9500008,-48.9500008,0.0
2018-12-14,1453.41003,1453.41003,1453.41003,1453.41003,0.0,-123.730003,-123.730003,-123.730003,-123.730003,0.0
2018-12-17,1438.47998,1438.47998,1438.47998,1438.47998,0.0,-213.149994,-213.149994,-213.149994,-213.149994,0.0
2018-12-18,1437.76001,1437.76001,1437.76001,1437.76001,0.0,-189.289993,-189.289993,-189.289993,-189.289993,0.0
2018-12-19,1426.81006,1426.81006,1426.81006,1426.81006,0.0,-221.660004,-221.660004,-221.660004,-221.660004,0.0
2018-12-20,1414.30005,1414.30005,1414.30005,1414.30005,0.0,-275.350006,-275.350006,-275.350006,-275.350006,0.0
2018-12-21,1402.05005,1402.05005,1402.05005,1402.05005,0.0,-310.059998,-310.059998,-310.059998,-310.059998,0.0
2018-12-24,1389.90002,1389.90002,1389.90002,1389.90002,0.0,-340.829987,-340.829987,-340.829987,-340.829987,0.0
2018-12-26,,,,,,-219.550003,-219.550003,-219.550003,-219.550003,0.0
